9562,latitude,longitude,type,residential_population
3068,48.7016398663,21.2155886615,dp,43
3069,48.702531025,21.2155886615,dp,22
3070,48.7034221836,21.2155886615,dp,22
3071,48.7043133423,21.2155886615,dp,22
3072,48.705204501,21.2155886615,dp,22
3073,48.7060956597,21.2155886615,dp,16
3074,48.693619438,21.2169448256,dp,26
3075,48.6989663902,21.2169448256,dp,93
3076,48.6998575489,21.2169448256,dp,65
3077,48.7016398663,21.2169448256,dp,56
3078,48.702531025,21.2169448256,dp,39
3079,48.7034221836,21.2169448256,dp,39
3080,48.7043133423,21.2169448256,dp,39
3081,48.705204501,21.2169448256,dp,30
3082,48.7060956597,21.2169448256,dp,21
3083,48.693619438,21.2183009897,dp,35
3084,48.6971840728,21.2183009897,dp,217
3085,48.6980752315,21.2183009897,dp,57
3086,48.6989663902,21.2183009897,dp,72
3087,48.6998575489,21.2183009897,dp,72
3088,48.7007487076,21.2183009897,dp,51
3089,48.7016398663,21.2183009897,dp,42
3090,48.702531025,21.2183009897,dp,46
3091,48.7034221836,21.2183009897,dp,47
3092,48.7043133423,21.2183009897,dp,46
3093,48.705204501,21.2183009897,dp,33
3094,48.6927282793,21.2196571538,dp,34
3095,48.693619438,21.2196571538,dp,158
3096,48.6962929141,21.2196571538,dp,137
3097,48.6971840728,21.2196571538,dp,35
3098,48.6980752315,21.2196571538,dp,35
3099,48.6989663902,21.2196571538,dp,63
3100,48.7007487076,21.2196571538,dp,61
3101,48.7016398663,21.2196571538,dp,23
3102,48.702531025,21.2196571538,dp,45
3103,48.7034221836,21.2196571538,dp,41
3104,48.7043133423,21.2196571538,dp,40
3105,48.705204501,21.2196571538,dp,17
3106,48.7060956597,21.2196571538,dp,11
3107,48.6954017554,21.2210133179,dp,155
3108,48.6989663902,21.2210133179,dp,35
3109,48.7007487076,21.2210133179,dp,24
3110,48.7016398663,21.2210133179,dp,35
3111,48.7043133423,21.2210133179,dp,24
3112,48.705204501,21.2210133179,dp,25
3113,48.6845426343,21.1991238055,dp,3
